Postal Code,State,Region,Design Temperature (°C)
01053,Saxony,Sachsen,9.46
01054,Saxony,Sachsen,9.46
01055,Saxony,Sachsen,9.46
01056,Saxony,Sachsen,9.46
01057,Saxony,Sachsen,9.46
01058,Saxony,Sachsen,9.46
01059,Saxony,Sachsen,9.46
01060,Saxony,Sachsen,9.46
01062,Saxony,Sachsen,9.46
01063,Saxony,Sachsen,9.46
01064,Saxony,Sachsen,9.46
01065,Saxony,Sachsen,9.46
01067,Sachsen,Sachsen,9.46
01069,Sachsen,Sachsen,9.46
01070,Saxony,Sachsen,9.46
01095,Saxony,Sachsen,9.46
01097,Sachsen,Sachsen,9.46
01099,Sachsen,Sachsen,9.46
01108,Sachsen,Sachsen,9.46
01109,Sachsen,Sachsen,9.46
01127,Sachsen,Sachsen,9.46
01129,Sachsen,Sachsen,9.46
01139,Sachsen,Sachsen,9.46
01156,Sachsen,Sachsen,9.46
01157,Sachsen,Sachsen,9.46
01159,Sachsen,Sachsen,9.46
01169,Sachsen,Sachsen,9.46
01187,Sachsen,Sachsen,9.46
01189,Sachsen,Sachsen,9.46
01213,Saxony,Sachsen,9.46
01217,Sachsen,Sachsen,9.46
01219,Sachsen,Sachsen,9.46
01237,Sachsen,Sachsen,9.46
01239,Sachsen,Sachsen,9.46
01255,Saxony,Sachsen,9.46
01257,Sachsen,Sachsen,9.46
01259,Sachsen,Sachsen,9.46
01264,Saxony,Sachsen,9.46
01277,Sachsen,Sachsen,9.46
01279,Sachsen,Sachsen,9.46
01303,Saxony,Sachsen,9.46
01304,Saxony,Sachsen,9.46
01305,Saxony,Sachsen,9.46
01307,Sachsen,Sachsen,9.46
01309,Sachsen,Sachsen,9.46
01324,Sachsen,Sachsen,9.46
01326,Sachsen,Sachsen,9.46
01328,Sachsen,Sachsen,9.46
01332,Saxony,Sachsen,9.46
01333,Saxony,Sachsen,9.46
01445,Sachsen,Sachsen,9.46
01454,Sachsen,Sachsen,9.46
01458,Sachsen,Sachsen,9.46
01465,Sachsen,Sachsen,9.46
01468,Sachsen,Sachsen,9.46
01471,Sachsen,Sachsen,9.46
01477,Sachsen,Sachsen,9.46
01558,Sachsen,Sachsen,9.46
01561,Sachsen,Sachsen,9.46
01585,Saxony,Sachsen,9.46
01587,Sachsen,Sachsen,9.46
01589,Sachsen,Sachsen,9.46
01591,Sachsen,Sachsen,9.46
01594,Sachsen,Sachsen,9.46
01609,Sachsen,Sachsen,9.46
01612,Sachsen,Sachsen,9.46
01616,Sachsen,Sachsen,9.46
01619,Sachsen,Sachsen,9.46
01623,Sachsen,Sachsen,9.46
01640,Sachsen,Sachsen,9.46
01662,Sachsen,Sachsen,9.46
01665,Sachsen,Sachsen,9.46
01683,Sachsen,Sachsen,9.46
01689,Sachsen,Sachsen,9.46
01705,Sachsen,Sachsen,9.46
01723,Sachsen,Sachsen,9.46
01728,Sachsen,Sachsen,9.46
01730,Saxony,Sachsen,9.46
01731,Sachsen,Sachsen,9.46
01734,Sachsen,Sachsen,9.46
01737,Sachsen,Sachsen,9.46
01738,Sachsen,Sachsen,9.46
01744,Sachsen,Sachsen,9.46
01762,Sachsen,Sachsen,9.46
01768,Sachsen,Sachsen,9.46
01773,Sachsen,Sachsen,9.46
01774,Sachsen,Sachsen,9.46
01776,Sachsen,Sachsen,9.46
01778,Sachsen,Sachsen,9.46
01793,Saxony,Sachsen,9.46
01796,Sachsen,Sachsen,9.46
01809,Sachsen,Sachsen,9.46
01814,Sachsen,Sachsen,9.46
01816,Sachsen,Sachsen,9.46
01819,Sachsen,Sachsen,9.46
01824,Sachsen,Sachsen,9.46
01825,Sachsen,Sachsen,9.46
01829,Sachsen,Sachsen,9.46
01833,Sachsen,Sachsen,9.46
01844,Sachsen,Sachsen,9.46
01847,Sachsen,Sachsen,9.46
01848,Sachsen,Sachsen,9.46
01855,Sachsen,Sachsen,9.46
01877,Sachsen,Sachsen,9.46
01896,Sachsen,Sachsen,9.46
01900,Sachsen,Sachsen,9.46
01904,Sachsen,Sachsen,9.46
01906,Sachsen,Sachsen,9.46
01909,Sachsen,Sachsen,9.46
01917,Sachsen,Sachsen,9.46
01920,Sachsen,Sachsen,9.46
01936,Sachsen,Sachsen,9.46
01945,Brandenburg,Brandenburg,10.150000000000002
01968,Brandenburg,Brandenburg,10.150000000000002
01979,Brandenburg,Brandenburg,10.150000000000002
01983,Brandenburg,Brandenburg,10.150000000000002
01987,Brandenburg,Brandenburg,10.150000000000002
01990,Brandenburg,Brandenburg,10.150000000000002
01993,Brandenburg,Brandenburg,10.150000000000002
01994,Brandenburg,Brandenburg,10.150000000000002
01996,Brandenburg,Brandenburg,10.150000000000002
01998,Brandenburg,Brandenburg,10.150000000000002
02619,Saxony,Sachsen,9.46
02620,Saxony,Sachsen,9.46
02621,Saxony,Sachsen,9.46
02625,Sachsen,Sachsen,9.46
02627,Sachsen,Sachsen,9.46
02633,Sachsen,Sachsen,9.46
02643,Saxony,Sachsen,9.46
02681,Sachsen,Sachsen,9.46
02689,Sachsen,Sachsen,9.46
02692,Sachsen,Sachsen,9.46
02694,Sachsen,Sachsen,9.46
02699,Sachsen,Sachsen,9.46
02708,Sachsen,Sachsen,9.46
02727,Sachsen,Sachsen,9.46
02730,Sachsen,Sachsen,9.46
02733,Sachsen,Sachsen,9.46
02736,Sachsen,Sachsen,9.46
02739,Sachsen,Sachsen,9.46
02742,Sachsen,Sachsen,9.46
02747,Sachsen,Sachsen,9.46
02748,Sachsen,Sachsen,9.46
02763,Sachsen,Sachsen,9.46
02779,Sachsen,Sachsen,9.46
02782,Sachsen,Sachsen,9.46
02785,Sachsen,Sachsen,9.46
02788,Sachsen,Sachsen,9.46
02791,Sachsen,Sachsen,9.46
02794,Sachsen,Sachsen,9.46
02796,Sachsen,Sachsen,9.46
02797,Sachsen,Sachsen,9.46
02799,Sachsen,Sachsen,9.46
02826,Sachsen,Sachsen,9.46
02827,Sachsen,Sachsen,9.46
02828,Sachsen,Sachsen,9.46
02829,Sachsen,Sachsen,9.46
02894,Sachsen,Sachsen,9.46
02899,Sachsen,Sachsen,9.46
02906,Sachsen,Sachsen,9.46
02923,Sachsen,Sachsen,9.46
02929,Sachsen,Sachsen,9.46
02943,Sachsen,Sachsen,9.46
02953,Sachsen,Sachsen,9.46
02956,Sachsen,Sachsen,9.46
02957,Sachsen,Sachsen,9.46
02959,Sachsen,Sachsen,9.46
02977,Sachsen,Sachsen,9.46
02979,Sachsen,Sachsen,9.46
02991,Sachsen,Sachsen,9.46
02994,Sachsen,Sachsen,9.46
02997,Sachsen,Sachsen,9.46
02999,Sachsen,Sachsen,9.46
03039,Brandenburg,Brandenburg,10.150000000000002
03042,Brandenburg,Brandenburg,10.150000000000002
03044,Brandenburg,Brandenburg,10.150000000000002
03046,Brandenburg,Brandenburg,10.150000000000002
03048,Brandenburg,Brandenburg,10.150000000000002
03050,Brandenburg,Brandenburg,10.150000000000002
03051,Brandenburg,Brandenburg,10.150000000000002
03052,Brandenburg,Brandenburg,10.150000000000002
03053,Brandenburg,Brandenburg,10.150000000000002
03054,Brandenburg,Brandenburg,10.150000000000002
03055,Brandenburg,Brandenburg,10.150000000000002
03058,Brandenburg,Brandenburg,10.150000000000002
03065,Brandenburg,Brandenburg,10.150000000000002
03075,Nordrhein-Westfalen,Nordrhein-Westfalen,10.21
03096,Brandenburg,Brandenburg,10.150000000000002
03099,Brandenburg,Brandenburg,10.150000000000002
03103,Brandenburg,Brandenburg,10.150000000000002
03116,Brandenburg,Brandenburg,10.150000000000002
03119,Brandenburg,Brandenburg,10.150000000000002
03130,Brandenburg,Brandenburg,10.150000000000002
03139,Brandenburg,Brandenburg,10.150000000000002
03149,Brandenburg,Brandenburg,10.150000000000002
03159,Brandenburg,Brandenburg,10.150000000000002
03172,Brandenburg,Brandenburg,10.150000000000002
03185,Brandenburg,Brandenburg,10.150000000000002
03197,Brandenburg,Brandenburg,10.150000000000002
03202,Brandenburg,Brandenburg,10.150000000000002
03205,Brandenburg,Brandenburg,10.150000000000002
